Spot_index,x,y
506,1295.9032006108812,1556.0394714404956
507,1320.14895937961,1524.2930649889029
508,1344.3947181483386,1492.5466585373103
509,1368.6404769170676,1460.8002520857185
510,1392.8862356857962,1429.0538456341258
511,1417.1319944545248,1397.3074391825332
512,1441.3777532232534,1365.561032730941
513,1465.6235119919825,1333.8146262793484
514,1489.8692707607113,1302.0682198277557
515,1514.11502952944,1270.3218133761636
516,1538.3607882981687,1238.575406924571
517,1562.6065470668975,1206.8290004729786
518,1586.852305835626,1175.0825940213865
519,1611.098064604355,1143.336187569794
520,1635.3438233730838,1111.5897811182017
521,1659.5895821418126,1079.8433746666092
522,1683.8353409105412,1048.096968215017
523,1708.08109967927,1016.350561763424
524,1732.3268584479986,984.6041553118316
525,1756.5726172167274,952.8577488602394
526,1780.8183759854562,921.1113424086468
527,1805.064134754185,889.3649359570543
528,1829.3098935229136,857.6185295054622
529,1853.555652291643,825.8721230538696
530,1877.8014110603715,794.1257166022771
531,1902.0471698291,762.379310150685
532,1926.292928597829,730.6329036990929
533,1950.5386873665573,698.8864972474998
534,1974.7844461352863,667.1400907959077
535,1999.0302049040156,635.3936843443147
536,2023.275963672744,603.6472778927225
537,2047.521722441473,571.9008714411304
538,2071.7674812102014,540.1544649895375
539,2096.0132399789304,508.4080585379454
540,2120.258998747659,476.6616520863532
541,2144.504757516387,444.91524563476025
542,2168.750516285116,413.1688391831681
543,2192.996275053845,381.422432731576
544,238.27862535944345,3008.949438068358
545,262.5243841281722,2977.2030316167666
546,286.7701428969009,2945.456625165174
547,311.01590166562977,2913.710218713581
548,335.26166043435853,2881.963812261989
549,359.5074192030867,2850.217405810397
550,383.7531779718156,2818.4709993588044
551,407.99893674054425,2786.7245929072124
552,432.2446955092731,2754.9781864556194
553,456.4904542780018,2723.231780004028
554,480.73621304673054,2691.4853735524352
555,504.9819718154599,2659.7389671008427
556,529.2277305841885,2627.99256064925
557,553.4734893529173,2596.246154197658
558,577.7192481216462,2564.499747746065
559,601.9650068903748,2532.7533412944726
560,626.2107656591036,2501.0069348428806
561,650.4565244278324,2469.260528391288
562,674.7022831965611,2437.5141219396955
563,698.9480419652899,2405.7677154881035
564,723.1938007340186,2374.021309036511
565,747.4395595027473,2342.274902584918
566,771.685318271476,2310.5284961333264
567,795.9310770402047,2278.782089681734
568,820.1768358089336,2247.0356832301413
569,844.4225945776624,2215.2892767785493
570,868.668353346391,2183.5428703269563
571,892.9141121151198,2151.796463875364
572,917.1598708838484,2120.0500574237712
573,941.4056296525774,2088.3036509721787
574,965.651388421306,2056.557244520586
575,989.8971471900348,2024.8108380689937
576,1014.1429059587635,1993.0644316174016
577,1038.388664727492,1961.318025165809
578,1062.634423496221,1929.5716187142168
579,1086.8801822649498,1897.8252122626243
580,1111.1259410336788,1866.078805811032
581,1135.3716998024072,1834.3323993594397
582,1159.6174585711362,1802.5859929078472
583,1183.8632173398648,1770.839586456255
584,1208.1089761085937,1739.093180004662
585,1232.354734877322,1707.34677355307
586,1256.600493646051,1675.6003671014776
587,1280.84625241478,1643.853960649885
588,1305.0920111835087,1612.107554198293
589,1329.337769952237,1580.3611477467002
590,1353.583528720966,1548.6147412951077
591,1377.8292874896947,1516.8683348435152
592,1402.0750462584238,1485.1219283919231
593,1426.3208050271523,1453.3755219403306
594,1450.5665637958814,1421.629115488738
595,1474.8123225646098,1389.882709037146
596,1499.0580813333386,1358.1363025855533
597,1523.3038401020672,1326.3898961339603
598,1547.549598870796,1294.6434896823685
599,1571.7953576395248,1262.897083230776
600,1596.041116408254,1231.1506767791832
601,1620.286875176982,1199.4042703275911
602,1644.5326339457115,1167.6578638759988
603,1668.7783927144403,1135.911457424406
604,1693.0241514831694,1104.165050972814
605,1717.2699102518975,1072.4186445212215
