bin_id	section_id	cluster
12884901893340	cs12_3	domain_D
12884901893940	cs12_3	domain_D
12884901894930	cs12_3	domain_D
12884901895530	cs12_3	domain_D
12884901896130	cs12_3	domain_C
12884901896730	cs12_3	domain_C
13013750910420	cs12_3	domain_D
13013750911020	cs12_3	domain_D
13013750911620	cs12_3	domain_D
13013750912220	cs12_3	domain_D
13013750912820	cs12_3	domain_D
13013750913690	cs12_3	domain_D
13013750914290	cs12_3	domain_D
13013750914890	cs12_3	domain_C
13013750915490	cs12_3	domain_C
13013750916090	cs12_3	domain_C
13142599929720	cs12_3	domain_D
13142599930350	cs12_3	domain_D
13142599930950	cs12_3	domain_D
13142599931610	cs12_3	domain_D
13142599932450	cs12_3	domain_D
13142599933050	cs12_3	domain_D
13142599933650	cs12_3	domain_C
13142599934250	cs12_3	domain_C
13142599934850	cs12_3	domain_C
13271448948480	cs12_3	domain_D
13271448949140	cs12_3	domain_D
13271448949740	cs12_3	domain_D
13271448950340	cs12_3	domain_D
13271448951270	cs12_3	domain_D
13271448951870	cs12_3	domain_D
13271448952470	cs12_3	domain_C
13271448953070	cs12_3	domain_C
13271448953670	cs12_3	domain_C
13400297967240	cs12_3	domain_D
13400297967900	cs12_3	domain_D
13400297968500	cs12_3	domain_D
13400297969100	cs12_3	domain_D
13400297970120	cs12_3	domain_D
13400297970720	cs12_3	domain_D
13400297971320	cs12_3	domain_C
13400297971920	cs12_3	domain_C
13400297972520	cs12_3	domain_C
13529146986030	cs12_3	domain_D
13529146986750	cs12_3	domain_D
13529146987350	cs12_3	domain_D
13529146987950	cs12_3	domain_D
13529146988970	cs12_3	domain_D
13529146989570	cs12_3	domain_D
13529146990170	cs12_3	domain_C
13529146990770	cs12_3	domain_C
13529146991370	cs12_3	domain_C
13657996004850	cs12_3	domain_D
13657996005570	cs12_3	domain_D
13657996006170	cs12_3	domain_D
13657996006770	cs12_3	domain_D
13657996007820	cs12_3	domain_D
13657996008420	cs12_3	domain_D
13657996009020	cs12_3	domain_C
13657996009620	cs12_3	domain_C
13657996010220	cs12_3	domain_C
13786845023670	cs12_3	domain_D
13786845024390	cs12_3	domain_D
13786845024990	cs12_3	domain_D
13786845025590	cs12_3	domain_D
13786845026640	cs12_3	domain_D
13786845027240	cs12_3	domain_D
13786845027840	cs12_3	domain_C
13786845028440	cs12_3	domain_C
13786845029040	cs12_3	domain_C
13915694042490	cs12_3	domain_D
13915694043210	cs12_3	domain_D
13915694043810	cs12_3	domain_D
13915694044410	cs12_3	domain_D
13915694045430	cs12_3	domain_D
13915694046030	cs12_3	domain_D
13915694046630	cs12_3	domain_C
13915694047230	cs12_3	domain_C
13915694047830	cs12_3	domain_C
13915694048430	cs12_3	domain_C
