x,y,_index
5460,5970,14302241100270
4860,5970,14302241100870
4260,5970,14302241101470
3600,5970,14302241102130
3000,5970,14302241102730
2400,5970,14302241103330
1800,5970,14302241103930
1200,5970,14302241104530
600,5970,14302241105130
6330,5940,14431090118280
5580,5940,14431090119030
4980,5940,14431090119630
4380,5940,14431090120230
3780,5940,14431090120830
3180,5940,14431090121430
2580,5940,14431090122030
1980,5940,14431090122630
1380,5940,14431090123230
780,5940,14431090123830
6540,5910,14559939136950
5760,5910,14559939137730
4980,5910,14559939138510
4380,5910,14559939139110
3780,5910,14559939139710
3180,5910,14559939140310
2580,5910,14559939140910
1980,5910,14559939141510
1380,5910,14559939142110
780,5910,14559939142710
6570,5880,14688788155800
5790,5880,14688788156580
4860,5880,14688788157510
4260,5880,14688788158110
3660,5880,14688788158710
3060,5880,14688788159310
2460,5880,14688788159910
1860,5880,14688788160510
1260,5880,14688788161110
660,5880,14688788161710
6450,5850,14817637174800
5640,5850,14817637175610
4710,5850,14817637176540
4080,5850,14817637177170
3480,5850,14817637177770
2880,5850,14817637178370
2280,5850,14817637178970
1680,5850,14817637179570
1080,5850,14817637180170
480,5850,14817637180770
6090,5820,14946486194040
5130,5820,14946486195000
4500,5820,14946486195630
3720,5820,14946486196410
3120,5820,14946486197010
2520,5820,14946486197610
1920,5820,14946486198210
1320,5820,14946486198810
720,5820,14946486199410
6570,5790,15075335212440
5730,5790,15075335213280
4710,5790,15075335214300
3690,5790,15075335215320
3090,5790,15075335215920
2490,5790,15075335216520
1890,5790,15075335217120
1290,5790,15075335217720
690,5790,15075335218320
6690,5760,15204184231200
5820,5760,15204184232070
4710,5760,15204184233180
3630,5760,15204184234260
3030,5760,15204184234860
2430,5760,15204184235460
1830,5760,15204184236060
1230,5760,15204184236660
630,5760,15204184237260
6690,5730,15333033250080
5790,5730,15333033250980
4650,5730,15333033252120
3480,5730,15333033253290
2880,5730,15333033253890
2280,5730,15333033254490
1680,5730,15333033255090
1080,5730,15333033255690
480,5730,15333033256290
6600,5700,15461882269050
5640,5700,15461882270010
3510,5700,15461882272140
2910,5700,15461882272740
2310,5700,15461882273340
1710,5700,15461882273940
1110,5700,15461882274540
510,5700,15461882275140
6630,5670,15590731287900
5610,5670,15590731288920
3390,5670,15590731291140
2790,5670,15590731291740
2190,5670,15590731292340
1590,5670,15590731292940
990,5670,15590731293540
390,5670,15590731294140
6570,5640,15719580306840
5580,5640,15719580307830
3510,5640,15719580309900
2910,5640,15719580310500
2310,5640,15719580311100
1710,5640,15719580311700
